round,cid,location,phase,loss,accuracy,num_samples
25,1,Hungarian,evaluate,0.0326,0.8511,47
25,3,VA_Long_Beach,evaluate,0.0373,0.6875,32
26,2,Switzerland,fit,0.2348,0.9077,78
26,3,VA_Long_Beach,fit,0.4672,0.7859,128
26,0,Cleveland,fit,0.3147,0.8756,193
26,1,Hungarian,fit,0.2842,0.8840,188
26,1,Hungarian,evaluate,0.0327,0.8298,47
26,0,Cleveland,evaluate,0.0390,0.8776,49
26,2,Switzerland,evaluate,0.0096,1.0000,20
26,3,VA_Long_Beach,evaluate,0.0375,0.6875,32
27,2,Switzerland,fit,0.2269,0.9128,78
27,3,VA_Long_Beach,fit,0.4656,0.7953,128
27,0,Cleveland,fit,0.2640,0.8725,193
27,1,Hungarian,fit,0.2800,0.8851,188
27,3,VA_Long_Beach,evaluate,0.0378,0.6875,32
27,0,Cleveland,evaluate,0.0390,0.8776,49
27,1,Hungarian,evaluate,0.0328,0.8511,47
27,2,Switzerland,evaluate,0.0091,1.0000,20
28,2,Switzerland,fit,0.2232,0.9128,78
28,1,Hungarian,fit,0.2776,0.8798,188
28,3,VA_Long_Beach,fit,0.4635,0.7906,128
28,0,Cleveland,fit,0.2617,0.8829,193
28,1,Hungarian,evaluate,0.0329,0.8511,47
28,3,VA_Long_Beach,evaluate,0.0382,0.6875,32
28,0,Cleveland,evaluate,0.0392,0.8776,49
28,2,Switzerland,evaluate,0.0086,1.0000,20
29,2,Switzerland,fit,0.2207,0.9128,78
29,3,VA_Long_Beach,fit,0.4634,0.7844,128
29,0,Cleveland,fit,0.2653,0.8839,193
29,1,Hungarian,fit,0.2773,0.8830,188
29,2,Switzerland,evaluate,0.0084,1.0000,20
29,0,Cleveland,evaluate,0.0389,0.8571,49
29,1,Hungarian,evaluate,0.0331,0.8511,47
29,3,VA_Long_Beach,evaluate,0.0387,0.6875,32
30,2,Switzerland,fit,0.2174,0.9154,78
30,3,VA_Long_Beach,fit,0.4681,0.7891,128
30,1,Hungarian,fit,0.2745,0.8809,188
30,0,Cleveland,fit,0.2816,0.8850,193
30,2,Switzerland,evaluate,0.0078,1.0000,20
30,0,Cleveland,evaluate,0.0387,0.8571,49
30,3,VA_Long_Beach,evaluate,0.0393,0.6875,32
30,1,Hungarian,evaluate,0.0334,0.8511,47
