round,cid,location,phase,loss,accuracy,num_samples
8,5,Hungarian,evaluate,0.0389,0.7500,16
8,8,Switzerland,evaluate,0.0808,0.7143,7
8,3,Hungarian,evaluate,0.0359,0.8750,16
8,2,Cleveland,evaluate,0.0717,0.5882,17
8,4,Hungarian,evaluate,0.0389,0.6875,16
8,11,VA_Long_Beach,evaluate,0.0402,0.9091,11
8,6,Switzerland,evaluate,0.0804,0.8571,7
9,7,Switzerland,fit,0.4517,0.8800,25
9,3,Hungarian,fit,0.5768,0.8032,62
9,8,Switzerland,fit,0.5020,0.8667,27
9,9,VA_Long_Beach,fit,0.5674,0.7048,42
9,6,Switzerland,fit,0.4764,0.8800,25
9,11,VA_Long_Beach,fit,0.5575,0.6977,43
9,2,Cleveland,fit,0.5693,0.7662,65
9,10,VA_Long_Beach,fit,0.5571,0.7857,42
9,4,Hungarian,fit,0.5701,0.8065,62
9,5,Hungarian,fit,0.5346,0.8825,63
9,0,Cleveland,fit,0.5119,0.9094,64
9,1,Cleveland,fit,0.5257,0.8406,64
9,4,Hungarian,evaluate,0.0376,0.8125,16
9,5,Hungarian,evaluate,0.0371,0.8125,16
9,10,VA_Long_Beach,evaluate,0.0575,0.5455,11
9,2,Cleveland,evaluate,0.0687,0.6471,17
9,7,Switzerland,evaluate,0.0650,0.8571,7
9,1,Cleveland,evaluate,0.0357,0.8125,16
9,6,Switzerland,evaluate,0.0781,0.7143,7
9,9,VA_Long_Beach,evaluate,0.0375,0.8182,11
9,11,VA_Long_Beach,evaluate,0.0377,0.9091,11
9,8,Switzerland,evaluate,0.0795,0.7143,7
9,0,Cleveland,evaluate,0.0369,0.7500,16
9,3,Hungarian,evaluate,0.0337,0.9375,16
10,8,Switzerland,fit,0.4723,0.8667,27
10,4,Hungarian,fit,0.5443,0.8194,62
10,5,Hungarian,fit,0.5020,0.9016,63
10,9,VA_Long_Beach,fit,0.5583,0.7143,42
10,11,VA_Long_Beach,fit,0.5567,0.6977,43
10,6,Switzerland,fit,0.4458,0.8720,25
10,3,Hungarian,fit,0.5547,0.7968,62
10,2,Cleveland,fit,0.5428,0.7754,65
10,7,Switzerland,fit,0.4251,0.8800,25
10,1,Cleveland,fit,0.5013,0.8469,64
10,10,VA_Long_Beach,fit,0.5446,0.8048,42
10,0,Cleveland,fit,0.4782,0.9156,64
10,1,Cleveland,evaluate,0.0343,0.8125,16
10,3,Hungarian,evaluate,0.0316,0.9375,16
10,11,VA_Long_Beach,evaluate,0.0352,0.9091,11
10,4,Hungarian,evaluate,0.0362,0.8125,16
10,7,Switzerland,evaluate,0.0609,0.8571,7
10,6,Switzerland,evaluate,0.0755,0.7143,7
10,9,VA_Long_Beach,evaluate,0.0349,0.8182,11
10,2,Cleveland,evaluate,0.0658,0.7059,17
10,0,Cleveland,evaluate,0.0360,0.7500,16
10,8,Switzerland,evaluate,0.0786,0.7143,7
10,10,VA_Long_Beach,evaluate,0.0578,0.5455,11
10,5,Hungarian,evaluate,0.0352,0.8125,16
11,0,Cleveland,fit,0.4440,0.9031,64
11,10,VA_Long_Beach,fit,0.5302,0.8000,42
11,11,VA_Long_Beach,fit,0.5410,0.7116,43
11,7,Switzerland,fit,0.4169,0.8640,25
11,5,Hungarian,fit,0.4679,0.9048,63
11,1,Cleveland,fit,0.4724,0.8531,64
11,6,Switzerland,fit,0.4261,0.8800,25
11,2,Cleveland,fit,0.5407,0.7723,65
11,8,Switzerland,fit,0.4536,0.8593,27
11,3,Hungarian,fit,0.5317,0.7839,62
11,4,Hungarian,fit,0.5173,0.8226,62
11,9,VA_Long_Beach,fit,0.5469,0.7190,42
11,2,Cleveland,evaluate,0.0626,0.7059,17
11,10,VA_Long_Beach,evaluate,0.0587,0.5455,11
11,1,Cleveland,evaluate,0.0331,0.8125,16
11,9,VA_Long_Beach,evaluate,0.0327,0.8182,11
11,11,VA_Long_Beach,evaluate,0.0330,0.9091,11
11,5,Hungarian,evaluate,0.0333,0.8125,16
11,0,Cleveland,evaluate,0.0352,0.7500,16
11,3,Hungarian,evaluate,0.0294,0.9375,16
11,8,Switzerland,evaluate,0.0781,0.7143,7
11,4,Hungarian,evaluate,0.0349,0.8125,16
11,7,Switzerland,evaluate,0.0569,0.8571,7
11,6,Switzerland,evaluate,0.0726,0.7143,7
12,11,VA_Long_Beach,fit,0.5354,0.7163,43
12,9,VA_Long_Beach,fit,0.5390,0.7238,42
12,0,Cleveland,fit,0.4138,0.9062,64
12,1,Cleveland,fit,0.4493,0.8562,64
12,4,Hungarian,fit,0.4963,0.8290,62
12,2,Cleveland,fit,0.5023,0.7662,65
12,10,VA_Long_Beach,fit,0.5286,0.7905,42
12,5,Hungarian,fit,0.4357,0.9048,63
12,6,Switzerland,fit,0.4000,0.8720,25
12,3,Hungarian,fit,0.5167,0.7774,62
12,8,Switzerland,fit,0.4351,0.8519,27
12,7,Switzerland,fit,0.3789,0.8640,25
12,9,VA_Long_Beach,evaluate,0.0310,0.8182,11
12,10,VA_Long_Beach,evaluate,0.0599,0.5455,11
12,6,Switzerland,evaluate,0.0698,0.8571,7
12,1,Cleveland,evaluate,0.0320,0.8125,16
12,3,Hungarian,evaluate,0.0274,0.9375,16
12,2,Cleveland,evaluate,0.0597,0.7059,17
12,4,Hungarian,evaluate,0.0337,0.8125,16
12,11,VA_Long_Beach,evaluate,0.0311,0.9091,11
12,8,Switzerland,evaluate,0.0786,0.7143,7
12,0,Cleveland,evaluate,0.0345,0.7500,16
12,7,Switzerland,evaluate,0.0533,0.8571,7
12,5,Hungarian,evaluate,0.0315,0.8125,16
13,9,VA_Long_Beach,fit,0.5400,0.7238,42
13,10,VA_Long_Beach,fit,0.5369,0.7857,42
13,3,Hungarian,fit,0.5000,0.7742,62
13,2,Cleveland,fit,0.4273,0.7692,65
13,8,Switzerland,fit,0.4097,0.8519,27
13,5,Hungarian,fit,0.4078,0.9048,63
13,0,Cleveland,fit,0.3877,0.9094,64
13,6,Switzerland,fit,0.3774,0.8720,25
13,4,Hungarian,fit,0.4778,0.8226,62
13,11,VA_Long_Beach,fit,0.5311,0.7209,43
13,1,Cleveland,fit,0.4286,0.8531,64
13,7,Switzerland,fit,0.3458,0.8640,25
13,6,Switzerland,evaluate,0.0671,0.8571,7
13,1,Cleveland,evaluate,0.0311,0.8125,16
13,9,VA_Long_Beach,evaluate,0.0297,0.8182,11
13,3,Hungarian,evaluate,0.0257,0.9375,16
13,4,Hungarian,evaluate,0.0327,0.8125,16
13,8,Switzerland,evaluate,0.0795,0.7143,7
13,0,Cleveland,evaluate,0.0341,0.7500,16
13,11,VA_Long_Beach,evaluate,0.0297,0.9091,11
13,2,Cleveland,evaluate,0.0571,0.7059,17
13,10,VA_Long_Beach,evaluate,0.0612,0.5455,11
13,5,Hungarian,evaluate,0.0299,0.8125,16
13,7,Switzerland,evaluate,0.0501,0.8571,7
